AC#_BAC_well/plate:type	Chromosome assignment (Timoshevskiy et al. 2014)	Band assignment (Timoshevskiy et al. 2014)	AaegL2 scaffold	Position in AaegL2 scaffold	Position in AaegL2 scaffold
AF108099_(SiaI)_NDL.085K2:GM	chr1	1p34	CH477189.1	2317168	2317168
CC114870_NDL.054P6:T7	chr1	1p34	CH477333.1	2035802	2035802
CC114763_NDL.054P6:SP6	chr1	1p34	CH477333.1	2142743	2142743
T58320_(LF90)_NDL.088A20:GM	chr1	1p34	CH477333.1	1976748	1976748
CC850957_NDL.123A9:T7	chr1	1p34	CH477343.1	953513	953513
CC850955_NDL.123A9:SP6	chr1	1p34	CH477343.1	999434	999434
CC142507_NDL.060H20:T7	chr1	1p34	CH477346.1	1947301	1947301
CC142505_NDL.060H20:SP6	chr1	1p34	CH477346.1	1849039	1849039
CC133926_NDL.023E9:T7	chr1	1p34	CH477361.1	182449	182449
CC133920_NDL.023E9:SP6	chr1	1p34	CH477361.1	289907	289907
CC138747_NDL.073I18:T7	chr1	1p34	CH477456.1	1322016	1322016
CC138743_NDL.073I18:SP6	chr1	1p34	CH477456.1	1422317	1422317
CC136873_NDL.014D24:SP6	chr1	1p33*	CH477303.1	239904	239904
BM005473_(LF217)_NDL.009N2:GM	chr1	1p33	CH477235.1	333833	333833
CC121341_NDL.009N2:SP6	chr1	1p33	CH477235.1	290511	290511
CC122483_NDL.014E23:T7	chr1	1p33	CH477239.1	134298	134298
CC122479_NDL.014E23:SP6	chr1	1p33	CH477239.1	230060	230060
CC111013_NDL.013H1:T7	chr1	1p33	CH477346.1	1108057	1108057
CC111010_NDL.013H1:SP6	chr1	1p33	CH477346.1	1017300	1017300
CC856659_NDL.124I18:T7	chr1	1p33	CH477366.1	629260	629260
CC856657_NDL.124I18:SP6	chr1	1p33	CH477366.1	713766	713766
BM005476_(LF150)_NDL.088D2:GM	chr1	1p33	CH477962.1	321757	321757
CC137501_NDL.013I5:T7	chr1	1p33	CH477361.1	331944	331944
AF019117_(Tsf)_NDL.013I5:GM	chr1	1p33	CH900208.1	8167	8167
CC137496_NDL.013I5:SP6	chr1	1p33	CH477361.1	239066	239066
CC124097_NDL.018D3:T7	chr1	1p32	CH477233.1	1759474	1759474
CC151019_NDL.018D3:SP6	chr1	1p32	CH477233.1	1832535	1832535
CC122791_NDL.045L10:T7	chr1	1p32	CH477303.1	239340	239340
CC122787_NDL.045L10:SP6	chr1	1p32	CH477303.1	151909	151909
CC858658_NDL.114F11:T7	chr1	1p32	CH477497.1	1213679	1213679
CC858654_NDL.114F11:SP6	chr1	1p32	CH477497.1	1116783	1116783
CC846383_NDL.026H12:T7	chr1	1p32	CH477569.1	333176	333176
CC846381_NDL.026H12:SP6	chr1	1p32	CH477569.1	238252	238252
T58319_(LF198)_NDL.090O23:GM	chr1	1p32	CH477895.1	552846	552846
T58309_(LF178)_NDL.033C3:GM	chr1	1p31* 2p44^	CH477244.1	2285597	2285597
CC117160_NDL.004P11:T7	chr1	1p31	CH477452.1	524635	524635
CC117157_NDL.004P11:SP6	chr1	1p31	CH477452.1	656445	656445
CC866880_NDL.097N12:T7	chr1	1p25	CH477284.1	168455	168455
CC866872_NDL.097N12:SP6	chr1	1p25	CH477543.1	546921	546921
CC108808_NDL.075D22:T7	chr1	1p25	CH477351.1	1361315	1361315
CC108803_NDL.075D22:SP6	chr1	1p25	CH477351.1	1270055	1270055
CC111885_NDL.032L19:T7	chr1	1p25	CH477391.1	1625031	1625031
CC111878_NDL.032L19:SP6	chr1	1p25	CH477391.1	1721077	1721077
CC120822_NDL.069O7:T7	chr1	1p25	CH477473.1	107650	107650
CC120819_NDL.069O7:SP6	chr1	1p25	CH477473.1	50252	50252
CC851350_NDL.109D6:T7	chr1	1p25	CH477543.1	132531	132531
CC851243_NDL.109D6:SP6	chr1	1p25	CH477543.1	214105	214105
CC122416_NDL.013B13:T7	chr1	1p23	CH477244.1	1198559	1198559
CC106921_NDL.027F12:T7	chr1	1p23	CH477257.1	2673168	2673168
CC106916_NDL.027F12:SP6	chr1	1p23	CH477257.1	2524749	2524749
CC848009_NDL.026C8:T7	chr1	1p23	CH477503.1	775667	775667
CC848005_NDL.026C8:SP6	chr1	1p23	CH477503.1	885703	885703
CC853309_NDL.039L22:T7	chr1	1p23	CH477545.1	477718	477718
CC853306_NDL.039L22:SP6	chr1	1p23	CH477545.1	361723	361723
CC866118_NDL.122D18:T7	chr1	1p22	CH477218.1	1246947	1246947
CC866114_NDL.122D18:SP6	chr1	1p22	CH477218.1	1160590	1160590
CC114410_NDL.070I5:T7	chr1	1p22	CH477341.1	770449	770449
CC114402_NDL.070I5:SP6	chr1	1p22	CH477341.1	707160	707160
CC849810_NDL.104K6:T7	chr1	1p21	CH477218.1	1683627	1683627
CC843338_NDL.104K6:SP6	chr1	1p21	CH477218.1	1550813	1550813
CC844312_NDL.039C9:T7	chr1	1p21	CH477257.1	1945810	1945810
CC844306_NDL.039C9:SP6	chr1	1p21	CH477257.1	1866710	1866710
CC852519_NDL.114O22:T7	chr1	1p21	CH477296.1	807265	807265
CC852513_NDL.114O22:SP6	chr1	1p21	CH477296.1	710899	710899
CC841926_NDL.123J4:T7	chr1	1p21	CH477312.1	1034179	1034179
CC841918_NDL.123J4:SP6	chr1	1p21	CH477312.1	1127210	1127210
CC124249_NDL.065G15:SP6	chr1	1p21	CH477498.1	1289937	1289937
BM378050_(LF204)_NDL.044O22:GM	chr1	1p21	CH477600.1	1043865	1043865
CC133086_NDL.023H10:T7	chr1	1p14	CH477251.1	493466	493466
CC133081_NDL.023H10:SP6	chr1	1p14	CH477251.1	414836	414836
CC120670_NDL.058C3:T7	chr1	1p14	CH477256.1	764319	764319
U73826_(AeW)_NDL.058C3:GM	chr1	1p14	CH477256.1	817725	817725
CC120561_NDL.058C3:SP6	chr1	1p14	CH477256.1	915108	915108
CC866974_NDL.002B16:T7	chr1	1p14	CH477260.1	2032613	2032613
CC866967_NDL.002B16:SP6	chr1	1p14	CH477260.1	2102200	2102200
CC859067_NDL.033E19:T7	chr1	1p14	CH477260.1	2068905	2068905
CC858977_NDL.033E19:SP6	chr1	1p14	CH477260.1	1990008	1990008
CC867266_NDL.098P15:T7	chr1	1p13	CH477558.1	1098643	1098643
CC867264_NDL.098P15:SP6	chr1	1p13	CH477558.1	1020940	1020940
CC112157_NDL.027L11:T7	chr1	1p13	CH477251.1	413877	413877
CC112152_NDL.027L11:SP6	chr1	1p13	CH477251.1	280454	280454
CC123174_NDL.018P1:T7	chr1	1p13	CH477377.1	1117977	1117977
M95187_(LAP)_NDL.018P1:GM	chr1	1p13	CH477377.1	1145657	1145657
CC125505_NDL.053F17:T7	chr1	1p13	CH477384.1	25159	25159
CC125499_NDL.053F17:SP6	chr1	1p13	CH477384.1	129578	129578
CC867073_NDL.017H6:T7	chr1	1p12	CH477308.1	1596369	1596369
BM005479_(LF179)_NDL.017H6:GM	chr1	1p12	CH477308.1	1766002	1766002
CC857841_NDL.100G8:T7	chr1	1p12	CH477308.1	2109054	2109054
BM005509_(LF314)_NDL.100G8:GM	chr1	1p12	CH477308.1	2137356	2137356
CC855965_NDL.002C16:T7	chr1	1p12	CH478812.1	54427	54427
CC855964_NDL.002C16:SP6	chr1	1p12	CH477417.1	481462	481462
CC865741_NDL.123N18:T7	chr1	1p12	CH477425.1	481718	481718
CC865736_NDL.123N18:SP6	chr1	1p12	CH477425.1	545523	545523
CC118310_NDL.051I8:T7	chr1	1p12	CH477487.1	1184405	1184405
CC118304_NDL.051I8:SP6	chr1	1p12	CH477487.1	1276926	1276926
CC118778_NDL.037K15:SP6	chr1	1q11	CH477531.1	298261	298261
CC109051_NDL.031O18:SP6	chr1	1q11	CH477804.1	369841	369841
CC126789_NDL.079D16:T7	chr1	1q11*2q12^3p21^ 3q23^	CH477422.1	1145684	1145684
CC132151_NDL.079D16:SP6	chr1	1q11*2q12^3p21^ 3q23^	CH477422.1	1212421	1212421
CC137623_NDL.005C6:T7	chr1	1q12	CH477403.1	571989	571989
CC113916_NDL.005C6:SP6	chr1	1q12	CH477403.1	664094	664094
CC864441_NDL.008J2:T7	chr1	1q12	CH477403.1	1704634	1704634
CC864435_NDL.008J2:SP6	chr1	1q12	CH477403.1	1639460	1639460
CC142841_NDL.058D8:T7	chr1	1q12	CH477511.1	439552	439552
AF000568_(AmyII)_NDL.058D8:GM	chr1	1q12	CH477511.1	452596	452596
CC865375_NDL.108G7:T7	chr1	1q13	CH477332.1	651732	651732
CC872784_NDL.108G7:SP6	chr1	1q13	CH477332.1	812645	812645
CC850472_NDL.124E20:T7	chr1	1q13	CH477508.1	1144347	1144347
CC850470_NDL.124E20:SP6	chr1	1q13	CH477508.1	1077333	1077333
AF026492_(CHT2)_NDL.129I16:GM	chr1	1q13	CH477858.1	376382	376382
CC134787_NDL.007J20:T7	chr1	1q14	CH477187.1	2772222	2772222
CC134784_NDL.007J20:SP6	chr1	1q14	CH477187.1	2664830	2664830
CC874209_NDL.131C7:T7	chr1	1q14	CH477241.1	1296358	1296358
CC874208_NDL.131C7:SP6	chr1	1q14	CH477241.1	1214983	1214983
CC868179_NDL.127B4:T7	chr1	1q21	CH477266.1	1863075	1863075
CC868175_NDL.127B4:SP6	chr1	1q21	CH477266.1	1979289	1979289
CC845924_NDL.116C10:T7	chr1	1q21	CH477445.1	809182	809182
CC845923_NDL.116C10:SP6	chr1	1q21	CH477445.1	703890	703890
CC143725_NDL.073M10:T7	chr1	1q21	CH477573.1	858651	858651
T58315_(LF159)_NDL.073M10:GM	chr1	1q21	CH477573.1	790538	790538
CC143723_NDL.073M10:SP6	chr1	1q21	CH477816.1	85690	85690
BM005502_(LF284)_NDL.062O7:GM	chr1	1q21	CH477631.1	389694	389694
CC139322_NDL.081P22:T7	chr1	1q22	CH477480.1	20940	20940
CC139319_NDL.081P22:SP6	chr1	1q22	CH477480.1	100267	100267
CC143852_NDL.9I16:T7	chr1	1q31	CH477197.1	1843954	1843954
CC143845_NDL.9I16:SP6	chr1	1q31	CH477197.1	1941298	1941298
CC121409_NDL.087E16:T7	chr1	1q31	CH477259.1	1830474	1830474
CC121404_NDL.087E16:SP6	chr1	1q31	CH477259.1	1981748	1981748
CC127159_NDL.079P18:T7	chr1	1q31	CH477464.1	52672	52672
CC127152_NDL.079P18:SP6	chr1	1q31	CH477464.1	227675	227675
CC114953_NDL.018E13:T7	chr1	1q31	CH477555.1	650711	650711
CC150510_NDL.018E13:SP6	chr1	1q31	CH477555.1	765932	765932
