CH477186.1 supercont1.1
CH477288.1 supercont1.103
CH478221.1 supercont1.1037
CH478233.1 supercont1.1050
CH477196.1 supercont1.11
CH477302.1 supercont1.117
CH477303.1 supercont1.118
CH477197.1 supercont1.12
CH478408.1 supercont1.1226
CH477308.1 supercont1.123
CH477310.1 supercont1.125
CH477315.1 supercont1.130
CH477318.1 supercont1.133
CH477332.1 supercont1.147
CH477338.1 supercont1.153
CH477341.1 supercont1.156
CH899811.1 supercont1.1664
CH899821.1 supercont1.1716
CH477366.1 supercont1.181
CH478941.1 supercont1.1811
CH477377.1 supercont1.192
CH477414.1 supercont1.229
CH477417.1 supercont1.232
CH477419.1 supercont1.234
CH477430.1 supercont1.245
CH477437.1 supercont1.252
CH477445.1 supercont1.260
CH477450.1 supercont1.265
CH477463.1 supercont1.278
CH477464.1 supercont1.279
CH477466.1 supercont1.281
CH477470.1 supercont1.285
CH477481.1 supercont1.296
CH477487.1 supercont1.302
CH477497.1 supercont1.312
CH477503.1 supercont1.318
CH477511.1 supercont1.326
CH477512.1 supercont1.327
CH477520.1 supercont1.335
CH477220.1 supercont1.35
CH477536.1 supercont1.351
CH477556.1 supercont1.371
CH477573.1 supercont1.388
CH477224.1 supercont1.39
CH477584.1 supercont1.399
CH477189.1 supercont1.4
CH477589.1 supercont1.404
CH477610.1 supercont1.425
CH477612.1 supercont1.427
CH477623.1 supercont1.438
CH477631.1 supercont1.446
CH477670.1 supercont1.485
CH477672.1 supercont1.487
CH477676.1 supercont1.491
CH477703.1 supercont1.518
CH477748.1 supercont1.563
CH477756.1 supercont1.571
CH477244.1 supercont1.59
CH477245.1 supercont1.60
CH477804.1 supercont1.619
CH477251.1 supercont1.66
CH477858.1 supercont1.673
CH477253.1 supercont1.68
CH477256.1 supercont1.71
CH477895.1 supercont1.710
CH477258.1 supercont1.73
CH477924.1 supercont1.739
CH477260.1 supercont1.75
CH477946.1 supercont1.761
CH477962.1 supercont1.777
CH477972.1 supercont1.787
CH477267.1 supercont1.82
CH478005.1 supercont1.820
CH477274.1 supercont1.89
CH478116.1 supercont1.931
CH477281.1 supercont1.96
CH477286.1 supercont1.101
CH478223.1 supercont1.1039
CH478230.1 supercont1.1047
CH477294.1 supercont1.109
CH477298.1 supercont1.113
CH899796.1 supercont1.1168
CH477306.1 supercont1.121
CH477307.1 supercont1.122
CH477313.1 supercont1.128
CH478474.1 supercont1.1292
CH477317.1 supercont1.132
CH477319.1 supercont1.134
CH477199.1 supercont1.14
CH477333.1 supercont1.148
CH477336.1 supercont1.151
CH477342.1 supercont1.157
CH477354.1 supercont1.169
CH477363.1 supercont1.178
CH477369.1 supercont1.184
CH477370.1 supercont1.185
CH477380.1 supercont1.195
CH477187.1 supercont1.2
CH477389.1 supercont1.204
CH477394.1 supercont1.209
CH477396.1 supercont1.211
CH477398.1 supercont1.213
CH477404.1 supercont1.219
CH477415.1 supercont1.230
CH477209.1 supercont1.24
CH477429.1 supercont1.244
CH477444.1 supercont1.259
CH477454.1 supercont1.269
CH477212.1 supercont1.27
CH477456.1 supercont1.271
CH477458.1 supercont1.273
CH477460.1 supercont1.275
CH477462.1 supercont1.277
CH477469.1 supercont1.284
CH477492.1 supercont1.307
CH477496.1 supercont1.311
CH477501.1 supercont1.316
CH477504.1 supercont1.319
CH477509.1 supercont1.324
CH477513.1 supercont1.328
CH477218.1 supercont1.33
CH477523.1 supercont1.338
CH477533.1 supercont1.348
CH477562.1 supercont1.377
CH477566.1 supercont1.381
CH477583.1 supercont1.398
CH477587.1 supercont1.402
CH477596.1 supercont1.411
CH477227.1 supercont1.42
CH477228.1 supercont1.43
CH477619.1 supercont1.434
CH477229.1 supercont1.44
CH477627.1 supercont1.442
CH477641.1 supercont1.456
CH477642.1 supercont1.457
CH477647.1 supercont1.462
CH477233.1 supercont1.48
CH477680.1 supercont1.495
CH477692.1 supercont1.507
CH477238.1 supercont1.53
CH477726.1 supercont1.541
CH477744.1 supercont1.559
CH477765.1 supercont1.580
CH477766.1 supercont1.581
CH477774.1 supercont1.589
CH477247.1 supercont1.62
CH477248.1 supercont1.63
CH477834.1 supercont1.649
CH477847.1 supercont1.662
CH477862.1 supercont1.677
CH477886.1 supercont1.701
CH477889.1 supercont1.704
CH477904.1 supercont1.719
CH477257.1 supercont1.72
CH477911.1 supercont1.726
CH477261.1 supercont1.76
CH477953.1 supercont1.768
CH477963.1 supercont1.778
CH477971.1 supercont1.786
CH477974.1 supercont1.789
CH477265.1 supercont1.80
CH477996.1 supercont1.811
CH478001.1 supercont1.816
CH478002.1 supercont1.817
CH478020.1 supercont1.835
CH478036.1 supercont1.851
CH478046.1 supercont1.861
CH477275.1 supercont1.90
CH477280.1 supercont1.95
CH478160.1 supercont1.976
CH478165.1 supercont1.981
CH477289.1 supercont1.104
CH478242.1 supercont1.1059
CH478250.1 supercont1.1067
CH477292.1 supercont1.107
CH477295.1 supercont1.110
CH477304.1 supercont1.119
CH477198.1 supercont1.13
CH477316.1 supercont1.131
CH477325.1 supercont1.140
CH477326.1 supercont1.141
CH477328.1 supercont1.143
CH477359.1 supercont1.174
CH477364.1 supercont1.179
CH477204.1 supercont1.19
CH477382.1 supercont1.197
CH477388.1 supercont1.203
CH477206.1 supercont1.21
CH477400.1 supercont1.215
CH477402.1 supercont1.217
CH477406.1 supercont1.221
CH477418.1 supercont1.233
CH477423.1 supercont1.238
CH477473.1 supercont1.288
CH477188.1 supercont1.3
CH477215.1 supercont1.30
CH477486.1 supercont1.301
CH477489.1 supercont1.304
CH477490.1 supercont1.305
CH477507.1 supercont1.322
CH477524.1 supercont1.339
CH477529.1 supercont1.344
CH477538.1 supercont1.353
CH477543.1 supercont1.358
CH477544.1 supercont1.359
CH477221.1 supercont1.36
CH477550.1 supercont1.365
CH477570.1 supercont1.385
CH477571.1 supercont1.386
CH477579.1 supercont1.394
CH477586.1 supercont1.401
CH477588.1 supercont1.403
CH477592.1 supercont1.407
CH477615.1 supercont1.430
CH477626.1 supercont1.441
CH477635.1 supercont1.450
CH477636.1 supercont1.451
CH477656.1 supercont1.471
CH477662.1 supercont1.477
CH477671.1 supercont1.486
CH477691.1 supercont1.506
CH477697.1 supercont1.512
CH477711.1 supercont1.526
CH477745.1 supercont1.560
CH477242.1 supercont1.57
CH477775.1 supercont1.590
CH477797.1 supercont1.612
CH477798.1 supercont1.613
CH477254.1 supercont1.69
CH477192.1 supercont1.7
CH477916.1 supercont1.731
CH477918.1 supercont1.733
CH477939.1 supercont1.754
CH477951.1 supercont1.766
CH477262.1 supercont1.77
CH477957.1 supercont1.772
CH477969.1 supercont1.784
CH477264.1 supercont1.79
CH477193.1 supercont1.8
CH477268.1 supercont1.83
CH477270.1 supercont1.85
CH477271.1 supercont1.86
CH478061.1 supercont1.876
CH477194.1 supercont1.9
CH478086.1 supercont1.901
CH477279.1 supercont1.94
CH478145.1 supercont1.961
CH478161.1 supercont1.977
CH477284.1 supercont1.99
CH478182.1 supercont1.998
CH477195.1 supercont1.10
CH477285.1 supercont1.100
CH478184.1 supercont1.1000
CH478185.1 supercont1.1001
CH478186.1 supercont1.1002
CH478187.1 supercont1.1003
CH478188.1 supercont1.1004
CH478189.1 supercont1.1005
CH478190.1 supercont1.1006
CH478191.1 supercont1.1007
CH478192.1 supercont1.1008
CH478193.1 supercont1.1009
CH478194.1 supercont1.1010
CH478195.1 supercont1.1011
CH478196.1 supercont1.1012
CH478197.1 supercont1.1013
CH478198.1 supercont1.1014
CH478199.1 supercont1.1015
CH478200.1 supercont1.1016
CH478201.1 supercont1.1017
CH478202.1 supercont1.1018
CH478203.1 supercont1.1019
CH477287.1 supercont1.102
CH478204.1 supercont1.1020
CH478205.1 supercont1.1021
CH478206.1 supercont1.1022
CH478207.1 supercont1.1023
CH478208.1 supercont1.1024
CH478209.1 supercont1.1025
CH478210.1 supercont1.1026
CH478211.1 supercont1.1027
CH478212.1 supercont1.1028
CH478213.1 supercont1.1029
CH478214.1 supercont1.1030
CH478215.1 supercont1.1031
CH478216.1 supercont1.1032
CH478217.1 supercont1.1033
CH478218.1 supercont1.1034
CH478219.1 supercont1.1035
CH478220.1 supercont1.1036
CH478222.1 supercont1.1038
CH478224.1 supercont1.1040
CH478225.1 supercont1.1041
CH478226.1 supercont1.1042
CH478227.1 supercont1.1043
CH899795.1 supercont1.1044
CH478228.1 supercont1.1045
CH478229.1 supercont1.1046
CH478231.1 supercont1.1048
CH478232.1 supercont1.1049
CH477290.1 supercont1.105
CH478234.1 supercont1.1051
CH478235.1 supercont1.1052
CH478236.1 supercont1.1053
CH478237.1 supercont1.1054
CH478238.1 supercont1.1055
CH478239.1 supercont1.1056
CH478240.1 supercont1.1057
CH478241.1 supercont1.1058
CH477291.1 supercont1.106
CH478243.1 supercont1.1060
CH478244.1 supercont1.1061
CH478245.1 supercont1.1062
CH478246.1 supercont1.1063
CH478247.1 supercont1.1064
CH478248.1 supercont1.1065
CH478249.1 supercont1.1066
CH478251.1 supercont1.1068
CH478252.1 supercont1.1069
CH478253.1 supercont1.1070
CH478254.1 supercont1.1071
CH478255.1 supercont1.1072
CH478256.1 supercont1.1073
CH478257.1 supercont1.1074
CH478258.1 supercont1.1075
CH478259.1 supercont1.1076
CH478260.1 supercont1.1077
CH478261.1 supercont1.1078
CH478262.1 supercont1.1079
CH477293.1 supercont1.108
CH478263.1 supercont1.1080
CH478264.1 supercont1.1081
CH478265.1 supercont1.1082
CH478266.1 supercont1.1083
CH478267.1 supercont1.1084
CH478268.1 supercont1.1085
CH478269.1 supercont1.1086
CH478270.1 supercont1.1087
CH478271.1 supercont1.1088
CH478272.1 supercont1.1089
CH478273.1 supercont1.1090
CH478274.1 supercont1.1091
CH478275.1 supercont1.1092
CH478276.1 supercont1.1093
CH478277.1 supercont1.1094
CH478278.1 supercont1.1095
CH478279.1 supercont1.1096
CH478280.1 supercont1.1097
CH478281.1 supercont1.1098
CH478282.1 supercont1.1099
CH478283.1 supercont1.1100
CH478284.1 supercont1.1101
CH478285.1 supercont1.1102
CH478286.1 supercont1.1103
CH478287.1 supercont1.1104
CH478288.1 supercont1.1105
CH478289.1 supercont1.1106
CH478290.1 supercont1.1107
CH478291.1 supercont1.1108
CH478292.1 supercont1.1109
CH477296.1 supercont1.111
CH478293.1 supercont1.1110
CH478294.1 supercont1.1111
CH478295.1 supercont1.1112
CH478296.1 supercont1.1113
CH478297.1 supercont1.1114
CH478298.1 supercont1.1115
CH478299.1 supercont1.1116
CH478300.1 supercont1.1117
CH478301.1 supercont1.1118
CH478302.1 supercont1.1119
CH477297.1 supercont1.112
CH478303.1 supercont1.1120
CH478304.1 supercont1.1121
CH478305.1 supercont1.1122
CH478306.1 supercont1.1123
CH478307.1 supercont1.1124
CH478308.1 supercont1.1125
CH478309.1 supercont1.1126
CH478310.1 supercont1.1127
CH478311.1 supercont1.1128
CH478312.1 supercont1.1129
CH478313.1 supercont1.1130
CH478314.1 supercont1.1131
CH478315.1 supercont1.1132
CH478316.1 supercont1.1133
CH478317.1 supercont1.1134
CH478318.1 supercont1.1135
CH478319.1 supercont1.1136
CH478320.1 supercont1.1137
CH478321.1 supercont1.1138
CH478322.1 supercont1.1139
CH477299.1 supercont1.114
CH478323.1 supercont1.1140
CH478324.1 supercont1.1141
CH478325.1 supercont1.1142
CH478326.1 supercont1.1143
CH478327.1 supercont1.1144
CH478328.1 supercont1.1145
CH478329.1 supercont1.1146
CH478330.1 supercont1.1147
CH478331.1 supercont1.1148
CH478332.1 supercont1.1149
CH477300.1 supercont1.115
CH478333.1 supercont1.1150
CH478334.1 supercont1.1151
CH478335.1 supercont1.1152
CH478336.1 supercont1.1153
CH478337.1 supercont1.1154
CH478338.1 supercont1.1155
CH478339.1 supercont1.1156
CH478340.1 supercont1.1157
CH478341.1 supercont1.1158
CH478342.1 supercont1.1159
CH477301.1 supercont1.116
CH478343.1 supercont1.1160
CH478344.1 supercont1.1161
CH478345.1 supercont1.1162
CH478346.1 supercont1.1163
CH478347.1 supercont1.1164
CH478348.1 supercont1.1165
CH478349.1 supercont1.1166
CH478350.1 supercont1.1167
CH478351.1 supercont1.1169
CH478352.1 supercont1.1170
CH478353.1 supercont1.1171
CH478354.1 supercont1.1172
CH478355.1 supercont1.1173
CH478356.1 supercont1.1174
CH478357.1 supercont1.1175
CH478358.1 supercont1.1176
CH478359.1 supercont1.1177
CH478360.1 supercont1.1178
CH478361.1 supercont1.1179
CH478362.1 supercont1.1180
CH478363.1 supercont1.1181
CH478364.1 supercont1.1182
CH478365.1 supercont1.1183
CH478366.1 supercont1.1184
CH478367.1 supercont1.1185
CH478368.1 supercont1.1186
CH478369.1 supercont1.1187
CH478370.1 supercont1.1188
CH478371.1 supercont1.1189
CH478372.1 supercont1.1190
CH478373.1 supercont1.1191
CH478374.1 supercont1.1192
CH478375.1 supercont1.1193
CH478376.1 supercont1.1194
CH478377.1 supercont1.1195
CH478378.1 supercont1.1196
CH478379.1 supercont1.1197
CH478380.1 supercont1.1198
CH478381.1 supercont1.1199
CH477305.1 supercont1.120
CH478382.1 supercont1.1200
CH478383.1 supercont1.1201
CH478384.1 supercont1.1202
CH478385.1 supercont1.1203
CH478386.1 supercont1.1204
CH478387.1 supercont1.1205
CH478388.1 supercont1.1206
CH478389.1 supercont1.1207
CH478390.1 supercont1.1208
CH478391.1 supercont1.1209
CH478392.1 supercont1.1210
CH478393.1 supercont1.1211
CH478394.1 supercont1.1212
CH478395.1 supercont1.1213
CH478396.1 supercont1.1214
CH478397.1 supercont1.1215
CH478398.1 supercont1.1216
CH478399.1 supercont1.1217
CH478400.1 supercont1.1218
CH478401.1 supercont1.1219
CH478402.1 supercont1.1220
CH478403.1 supercont1.1221
CH478404.1 supercont1.1222
CH478405.1 supercont1.1223
CH478406.1 supercont1.1224
CH478407.1 supercont1.1225
CH478409.1 supercont1.1227
CH478410.1 supercont1.1228
CH478411.1 supercont1.1229
CH478412.1 supercont1.1230
CH478413.1 supercont1.1231
CH478414.1 supercont1.1232
CH478415.1 supercont1.1233
CH478416.1 supercont1.1234
CH478417.1 supercont1.1235
CH478418.1 supercont1.1236
CH478419.1 supercont1.1237
CH478420.1 supercont1.1238
CH478421.1 supercont1.1239
CH477309.1 supercont1.124
CH478422.1 supercont1.1240
CH478423.1 supercont1.1241
CH478424.1 supercont1.1242
CH478425.1 supercont1.1243
CH478426.1 supercont1.1244
CH478427.1 supercont1.1245
CH478428.1 supercont1.1246
CH478429.1 supercont1.1247
CH478430.1 supercont1.1248
CH478431.1 supercont1.1249
CH478432.1 supercont1.1250
CH478433.1 supercont1.1251
CH478434.1 supercont1.1252
CH478435.1 supercont1.1253
CH478436.1 supercont1.1254
CH478437.1 supercont1.1255
CH478438.1 supercont1.1256
CH478439.1 supercont1.1257
CH478440.1 supercont1.1258
CH478441.1 supercont1.1259
CH477311.1 supercont1.126
CH478442.1 supercont1.1260
CH478443.1 supercont1.1261
CH478444.1 supercont1.1262
CH478445.1 supercont1.1263
CH478446.1 supercont1.1264
CH478447.1 supercont1.1265
CH478448.1 supercont1.1266
CH478449.1 supercont1.1267
CH478450.1 supercont1.1268
CH478451.1 supercont1.1269
CH477312.1 supercont1.127
CH478452.1 supercont1.1270
CH478453.1 supercont1.1271
CH478454.1 supercont1.1272
CH478455.1 supercont1.1273
CH478456.1 supercont1.1274
CH478457.1 supercont1.1275
CH478458.1 supercont1.1276
CH478459.1 supercont1.1277
CH478460.1 supercont1.1278
CH478461.1 supercont1.1279
CH478462.1 supercont1.1280
CH478463.1 supercont1.1281
CH478464.1 supercont1.1282
CH478465.1 supercont1.1283
CH478466.1 supercont1.1284
CH478467.1 supercont1.1285
CH478468.1 supercont1.1286
CH478469.1 supercont1.1287
CH478470.1 supercont1.1288
CH478471.1 supercont1.1289
CH477314.1 supercont1.129
CH478472.1 supercont1.1290
CH478473.1 supercont1.1291
CH478475.1 supercont1.1293
CH478476.1 supercont1.1294
CH478477.1 supercont1.1295
CH478478.1 supercont1.1296
CH478479.1 supercont1.1297
CH478480.1 supercont1.1298
CH478481.1 supercont1.1299
CH478482.1 supercont1.1300
CH478483.1 supercont1.1301
CH478484.1 supercont1.1302
CH478485.1 supercont1.1303
CH478486.1 supercont1.1304
CH478487.1 supercont1.1305
CH478488.1 supercont1.1306
CH478489.1 supercont1.1307
CH478490.1 supercont1.1308
CH478491.1 supercont1.1309
CH478492.1 supercont1.1310
CH478493.1 supercont1.1311
CH478494.1 supercont1.1312
CH478495.1 supercont1.1313
CH478496.1 supercont1.1314
CH478497.1 supercont1.1315
CH478498.1 supercont1.1316
CH478499.1 supercont1.1317
CH478500.1 supercont1.1318
CH478501.1 supercont1.1319
CH478502.1 supercont1.1320
CH478503.1 supercont1.1321
CH478504.1 supercont1.1322
CH478505.1 supercont1.1323
CH478506.1 supercont1.1324
CH478507.1 supercont1.1325
CH478508.1 supercont1.1326
CH478509.1 supercont1.1327
CH478510.1 supercont1.1328
CH478511.1 supercont1.1329
CH478512.1 supercont1.1330
CH478513.1 supercont1.1331
CH478514.1 supercont1.1332
CH478515.1 supercont1.1333
CH478516.1 supercont1.1334
CH478517.1 supercont1.1335
CH478518.1 supercont1.1336
CH478519.1 supercont1.1337
CH478520.1 supercont1.1338
CH478521.1 supercont1.1339
CH478522.1 supercont1.1340
CH478523.1 supercont1.1341
CH478524.1 supercont1.1342
CH478525.1 supercont1.1343
CH478526.1 supercont1.1344
CH478527.1 supercont1.1345
CH478528.1 supercont1.1346
