Microsatellite locus	Linkage map chromosome  (Hickner et al. 2013)	Linkage map position, cM (Hickner et al. 2013)	CpipJ1 scaffold	Start position on CpipJ1 supercontig	End position on CpipJ1 scaffold
C660CTC1	chr1	10.4	supercont3.660	210132	210132
C660GTG1	chr1	10.4	supercont3.660	200646	200646
C143TGC1	chr1	11	supercont3.143	391127	391127
C47GA1	chr1	13.7	supercont3.47	1313771	1313771
C56GCA1	chr1	13.7	supercont3.56	973937	973937
C56TGT1	chr1	13.7	supercont3.56	918098	918098
C134AC1b	chr1	13.7	supercont3.134	30425	30425
C213CGA1	chr1	14	supercont3.213	601247	601247
C213CA1	chr1	14	supercont3.213	133631	133631
C60CTG1	chr1	14	supercont3.60	404126	404126
C104TTC1	chr1	14	supercont3.104	918077	918077
C36GTT1	chr1	15.7	supercont3.36	1303951	1303951
C198TCG1	chr1	21.9	supercont3.198	515329	515329
C12GTT1	chr1	29.5	supercont3.12	1558138	1558138
C12CCT1	chr1	29.5	supercont3.12	837313	837313
C12GTC1	chr1	29.5	supercont3.12	268913	268913
C32AG1	chr2	0	supercont3.32	1155450	1155450
C32TGC1	chr2	0	supercont3.32	787639	787639
C32TC1b	chr2	0	supercont3.32	266744	266744
C13TC1	chr2	6.2	supercont3.13	1640955	1640955
C68TCG1	chr2	7.5	supercont3.68	253604	253604
C28GT1	chr2	12.4	supercont3.28	341223	341223
C139GA1	chr2	17.4	supercont3.139	714439	714439
C139CT1	chr2	17.4	supercont3.139	744116	744116
C474GGA1	chr2	21.3	supercont3.474	209783	209783
C4TTG1	chr2	25.3	supercont3.4	1045226	1045226
C99GTC1	chr2	27.2	supercont3.99	355499	355499
C5CGT1	chr2	31.6	supercont3.5	1002522	1002522
C175TC1	chr2	35.6	supercont3.175	379530	379530
C95CAG1	chr2	38.9	supercont3.95	317088	317088
C95GCA1	chr2	38.9	supercont3.95	620572	620572
C41GTC1	chr2	43.2	supercont3.41	626448	626448
C129CT1	chr2	51.7	supercont3.129	381523	381523
C67GT1	chr2	51.9	supercont3.67	306039	306039
C280CGT1	chr2	64.3	supercont3.280	190861	190861
C66CGT1	chr2	65.4	supercont3.66	495995	495995
C66TGT1	chr2	65.4	supercont3.66	483175	483175
C66GT1	chr2	65.4	supercont3.66	427138	427138
C108CAG1	chr2	75.8	supercont3.108	416025	416025
C177CGT1	chr2	80	supercont3.177	457894	457894
C186TGT1	chr2	88.8	supercont3.186	310769	310769
C21TTG1	chr3	0	supercont3.21	1283628	1283628
C3TGC1	chr3	1.9	supercont3.3	1813235	1813235
C3GAC1	chr3	1.9	supercont3.3	2527292	2527292
C2ACG1	chr3	5.1	supercont3.2	1646608	1646608
C38GCT1	chr3	7.1	supercont3.38	581278	581278
C38AC1	chr3	7.1	supercont3.38	1236529	1236529
C309TGC1	chr3	17.5	supercont3.309	473636	473636
C309ACG1	chr3	17.5	supercont3.309	388483	388483
C205GAC1	chr3	22.3	supercont3.205	100114	100114
C205GTC1	chr3	22.3	supercont3.205	282319	282319
C45GCT1	chr3	30.5	supercont3.45	1118880	1118880
C45AG1	chr3	30.5	supercont3.45	444156	444156
C73TCG1	chr3	32.1	supercont3.73	1014826	1014826
C73CA1	chr3	32.1	supercont3.73	1034749	1034749
C5GTG1	chr3	39.6	supercont3.5	482818	482818
C1CAG1	chr3	40	supercont3.1	645288	645288
C65CAG1	chr3	42.2	supercont3.65	594671	594671
C550TGC1	chr3	48.4	supercont3.550	94189	94189
C163CAG1	chr3	51.3	supercont3.163	163335	163335
C119TGG1	chr3	53.6	supercont3.119	102604	102604
C446TC1	chr3	55.6	supercont3.446	303054	303054
C1500CAG1	chr3	57.3	supercont3.1500	38249	38249
C208GCA1	chr3	59.5	supercont3.208	278321	278321
C185CAG1	chr3	65.6	supercont3.185	232381	232381
