Marker locus	Linkage map chromosome (Aresburger et al. 2010)	Linkame map position, cM (Aresburger et al. 2010)	CpipJ3 scaffold	Start position on CpipJ3 scaffold	End position on CpipJ3 scaffold
CX60_FD664718	chr1	0	supercont3.127	261335	261335
LF188(*)_BM005472	chr1	5.9	supercont3.660	245462	245462
LF284_BM005502	chr1	11.7	supercont3.56	500618	500618
LF334_BM005506	chr2	0	supercont3.32	673317	673317
LF335_BM005505	chr2	9.6	supercont3.68	388440	388440
CX90_FD664719	chr2	15.9	supercont3.65	16753	16753
CX90_FD664720	chr2	15.9	supercont3.65	16753	16753
DDC_U27581	chr2	27.3	supercont3.474	265671	265671
CX40_FD664709	chr2	29.2	supercont3.48	178802	178802
CX44_FD664710	chr2	36.1	supercont3.5	760828	760828
CX44_FD664711	chr2	36.1	supercont3.5	760828	760828
LF129_BM005504	chr2	41.2	supercont3.175	440883	440883
CX61_FD664712	chr2	42.3	supercont3.134	246589	246589
CX61_FD664713	chr2	42.3	supercont3.134	246589	246589
LF203_BM005503	chr2	42.9	supercont3.95	734456	734456
CXI107_FD664723	chr2	54.3	supercont3.129	577509	577509
CXI107_FD664724	chr2	54.3	supercont3.129	577509	577509
LF108_T58322	chr2	55.9	supercont3.67	689699	689699
LF168_R47184	chr2	59.1	supercont3.129	630438	630438
CX22_FD664703	chr2	65.8	supercont3.626	104453	104453
CX22_FD664704	chr2	65.8	supercont3.626	104453	104453
CX35_FD664707	chr2	65.9	supercont3.66	384719	384719
CX35_FD664708	chr2	65.9	supercont3.66	384719	384719
LF386_BM005497	chr2	67.4	supercont3.111	452313	452313
LF323_BM005507	chr2	73.7	supercont3.177	392133	392133
CXI114_FD664728	chr2	76.4	supercont3.177	402401	402401
CXI114_FD664729	chr2	76.4	supercont3.177	402401	402401
LF115_R67978	chr3	0	supercont3.3	1872000	1872000
CXI112_FD664727	chr3	17.9	supercont3.99	305103	305103
CX17_FD664699	chr3	18.5	supercont3.205	96983	96983
CX17_FD664700	chr3	18.5	supercont3.205	96983	96983
LF124_BM005518	chr3	21.7	supercont3.99	304857	304857
CX53_FD664714	chr3	26	supercont3.139	268275	268275
CX53_FD664715	chr3	26	supercont3.139	268275	268275
LF99c(!)_BM005477	chr3	26.3	supercont3.208	624810	624810
LF272_BM005484	chr3	28	supercont3.73	1043927	1043927
LF106_BM005490	chr3	51.5	supercont3.550	56301	56301
LF99a(!)_BM005477	chr3	62.2	supercont3.208	624810	624810
CX11_FD664697	chr3	73	supercont3.446	317171	317171
LF128_BM005494	chr3	79.2	supercont3.185	122693	122693
