Marker name	Physical map chromosome  (Naumenko et al. 2015)	Physical map position, band (Naumenko et al. 2015)	CpipJ1 scaffold	Start position on CpipJ1 scaffold	End position on CpipJ1 scaffold
FD664718_NDJ.048G24:GM	chr1	1q31	supercont3.127	261335	261335
KG961591_NDJ.002A07:M13	chr1	1q21	supercont3.49	500099	500099
KG961590_NDJ.002A07:T7	chr1	1q21	supercont3.49	588226	588226
KG777562_NDJ.001D17:M13	chr1	1q12	supercont3.134	777978	777978
KG777561_NDJ.001D17:T7	chr1	1q12	supercont3.134	696673	696673
BM005502_NDJ.001O10:GM	chr1	1q12	supercont3.56	500618	500618
KG777560_NDJ.001O10:M13	chr1	1q12	supercont3.56	656966	656966
KG777559_NDJ.001O10:T7	chr1	1q12	supercont3.56	771667	771667
GF110931_NDJ.020P4:T7	chr1	1p12	supercont3.845	121523	121523
KG777556_NDJ.001J24:T7	chr1	1p21	supercont3.14	3917	3917
KG961588_NDJ.003F11:T7	chr1	1p31	supercont3.36	866808	866808
KG961589_NDJ.003F11:M13	chr1	1p31	supercont3.36	992654	992654
BM005506_NDJ.033G10:GM	chr2	2q43	supercont3.32	673317	673317
KG961603_NDJ.003H21:M13	chr2	2q43	supercont3.13	1747352	1747352
KG961602_NDJ.003H21:T7	chr2	2q43	supercont3.13	1643564	1643564
BM005505_N/A:GM	chr2	2q42	supercont3.68	388440	388440
KG777576_NDJ.001J08:M13	chr2	2q32	supercont3.10	632673	632673
KG777575_NDJ.001J08:T7	chr2	2q32	supercont3.10	721370	721370
KG961600_NDJ.002L02:T7	chr2	2q25	supercont3.4	1728185	1728185
BM005503_NDJ.003F24:GM	chr2	2q22	supercont3.95	734456	734456
KG961599_NDJ.003F24:M13	chr2	2q22	supercont3.95	829160	829160
KG961598_NDJ.003F24:T7	chr2	2q22	supercont3.95	725215	725215
KG777570_NDJ.001E04:M13	chr2	2q17	supercont3.17	954802	954802
KG777569_NDJ.001E04:T7	chr2	2q17	supercont3.17	859525	859525
KG777571_NDJ.001E14:T7	chr2	2q13	supercont3.9	985789	985789
KG777568_NDJ.001N24:M13	chr2	2q12	supercont3.11	1480190	1480190
KG777567_NDJ.001N24:T7	chr2	2q12	supercont3.11	1564730	1564730
FD664710_NDJ.002C07:GM	chr2	2q11	supercont3.5	760828	760828
KG777566_NDJ.002C07:M13	chr2	2q11	supercont3.5	2455830	2455830
KG777565_NDJ.002C07:T7	chr2	2q11	supercont3.5	2376756	2376756
FD664723_NDJ.064F11:GM	chr2	2p25	supercont3.129	577509	577509
KG961586_NDJ.002N10:T7	chr2	2p32	supercont3.66	396738	396738
KG961587_NDJ.002N10:M13	chr2	2p32	supercont3.66	477304	477304
KG777563_NDJ.002C09:T7	chr2	2p34	supercont3.15	1029838	1029838
KG777564_NDJ.002C09:M13	chr2	2p34	supercont3.15	914705	914705
KG961594_NDJ.001N13:T7	chr2	2p34	supercont3.177	319501	319501
FD664728_NDJ.001N13:GM	chr2	2p34	supercont3.177	402401	402401
KG961596_NDJ.001K16:T7	chr2	2p35	supercont3.186	223665	223665
KG961597_NDJ.001K16:M13	chr2	2p35	supercont3.186	302105	302105
R67978_NDJ.001M21:GM	chr3	3q33	supercont3.3	1872000	1872000
KG961607_NDJ.002F15:M13	chr3	3q32	supercont3.2	163620	163620
KG961606_NDJ.002F15:T7	chr3	3q32	supercont3.2	74753	74753
FD664727_NDJ.024B18:GM	chr3	3q24	supercont3.99	305103	305103
FD664699_NDJ.005A07:GM	chr3	3q21	supercont3.205	96983	96983
FD664714_NDJ.013B09:GM	chr3	3q21	supercont3.139	268275	268275
BM005484_NDJ.004020:GM	chr3	3q14	supercont3.73	1043927	1043927
KG961605_NDJ.004020:M13	chr3	3q14	supercont3.73	770828	770828
KG961605_NDJ.004020:T7	chr3	3q14	supercont3.73	770828	770828
T58322_NDJ.002F04:GM	chr3	3q12	supercont3.67	689699	689699
KG777582_NDJ.001G13:M13	chr3	3q12	supercont3.1	3371402	3371402
KG777581_NDJ.001G13:T7	chr3	3q12	supercont3.1	3464941	3464941
KG961581_NDJ.005K08:M13	chr3	3p11	supercont3.65	999655	999655
FD664697_NDJ.009F06:GM	chr3	3p32	supercont3.446	317171	317171
