Contig with marker, accession number	Linkage map chromosome (Juneja et al.)	Linkage map position, cM (Juneja et al.)	AaegL2 scaffold	Start position on AaegL2 scaffold	End position on AaegL2 scaffold
AAGE02000001.1	chr1	24.396	CH477186.1	1	20162
AAGE02000003.1	chr1	24.396	CH477186.1	62542	174550
AAGE02000005.1	chr1	24.396	CH477186.1	215224	419719
AAGE02000070.1	chr3	33.231	CH477186.1	3964643	4299852
AAGE02000073.1	chr3	33.231	CH477186.1	4461941	4685983
AAGE02000111.1	chr2	46.756	CH477187.1	386800	510583
AAGE02000145.1	chr1	21.535	CH477187.1	1697164	1873920
AAGE02000222.1	chr2	52.532	CH477188.1	219614	288060
AAGE02000244.1	chr3	33.231	CH477188.1	1419235	1760062
AAGE02000246.1	chr3	33.231	CH477188.1	1810370	1928824
AAGE02000247.1	chr3	33.231	CH477188.1	1928925	1970040
AAGE02000251.1	chr3	33.231	CH477188.1	2104530	2234058
AAGE02000252.1	chr3	33.231	CH477188.1	2234159	2896296
AAGE02000265.1	chr3	33.231	CH477188.1	3940244	4126881
AAGE02000266.1	chr3	33.231	CH477188.1	4126982	4298621
AAGE02000376.1	chr3	33.231	CH477190.1	223488	280825
AAGE02000378.1	chr3	33.231	CH477190.1	499041	512135
AAGE02000381.1	chr3	33.231	CH477190.1	796826	915777
AAGE02000385.1	chr3	33.231	CH477190.1	988459	1144903
AAGE02000394.1	chr3	33.231	CH477190.1	1512384	1708422
AAGE02000395.1	chr3	33.231	CH477190.1	1708523	1712888
AAGE02000397.1	chr3	33.231	CH477190.1	1722160	2041145
AAGE02000399.1	chr3	33.231	CH477190.1	2079995	2149685
AAGE02000407.1	chr3	33.231	CH477190.1	2489733	2506467
AAGE02000481.1	chr2	46.756	CH477191.1	116012	130353
AAGE02000510.1	chr2	49.629	CH477191.1	963984	1037981
AAGE02000542.1	chr2	65.871	CH477191.1	2662742	2874953
AAGE02000545.1	chr2	58.962	CH477191.1	3191920	3332815
AAGE02000559.1	chr3	33.231	CH477191.1	3597459	3697402
AAGE02000581.1	chr3	63.73	CH477191.1	4685268	4879311
AAGE02000582.1	chr3	63.73	CH477191.1	4879412	5029175
AAGE02000596.1	chr3	79.713	CH477192.1	1120725	1456873
AAGE02000597.1	chr3	79.713	CH477192.1	1456974	1933721
AAGE02000598.1	chr3	79.713	CH477192.1	1933822	2078600
AAGE02000599.1	chr3	79.713	CH477192.1	2078701	2128717
AAGE02000600.1	chr3	79.713	CH477192.1	2128818	2341283
AAGE02000601.1	chr3	79.713	CH477192.1	2341782	2754502
AAGE02000603.1	chr3	79.713	CH477192.1	2772670	2920777
AAGE02000619.1	chr3	33.231	CH477192.1	3918924	4150846
AAGE02000642.1	chr3	33.231	CH477193.1	313925	657121
AAGE02000649.1	chr3	33.231	CH477193.1	1085214	1506858
AAGE02000657.1	chr3	33.231	CH477193.1	1781271	1874977
AAGE02000660.1	chr3	33.231	CH477193.1	1997486	2233516
AAGE02000671.1	chr3	33.231	CH477193.1	3068222	3091024
AAGE02000672.1	chr3	33.231	CH477193.1	3093452	3140605
AAGE02000674.1	chr3	33.231	CH477193.1	3340374	3468147
AAGE02000675.1	chr3	33.231	CH477193.1	3468248	3623424
AAGE02000703.1	chr2	49.629	CH477193.1	4590815	4719056
AAGE02000705.1	chr2	49.629	CH477193.1	4726438	4765376
AAGE02000714.1	chr3	33.231	CH477194.1	125655	251474
AAGE02000716.1	chr3	33.231	CH477194.1	274738	517216
AAGE02000741.1	chr3	33.231	CH477194.1	2360208	2624609
AAGE02000773.1	chr3	69.452	CH477195.1	31224	150686
AAGE02000774.1	chr3	69.452	CH477195.1	150787	272568
AAGE02000775.1	chr3	69.452	CH477195.1	272669	595639
AAGE02000776.1	chr3	69.452	CH477195.1	596241	665498
AAGE02000785.1	chr3	69.452	CH477195.1	1078115	1150542
AAGE02000791.1	chr3	69.452	CH477195.1	1537233	1964674
AAGE02000800.1	chr3	69.452	CH477195.1	2209471	2384299
AAGE02000811.1	chr3	69.452	CH477195.1	3334450	3713235
AAGE02000812.1	chr3	69.452	CH477195.1	3713336	3747417
AAGE02000814.1	chr3	69.452	CH477195.1	3793099	3935883
AAGE02000818.1	chr3	69.452	CH477195.1	3966884	4079742
AAGE02000820.1	chr3	69.452	CH477195.1	4082422	4173125
AAGE02000821.1	chr3	69.452	CH477195.1	4173226	4447051
AAGE02000842.1	chr2	49.629	CH477196.1	419884	450214
AAGE02000846.1	chr2	49.629	CH477196.1	496574	600527
AAGE02000859.1	chr2	52.532	CH477196.1	999230	1169829
AAGE02000862.1	chr2	52.532	CH477196.1	1217067	1339584
AAGE02000864.1	chr2	52.532	CH477196.1	1349604	1675535
AAGE02000867.1	chr2	52.532	CH477196.1	1819747	2138889
AAGE02000868.1	chr2	52.532	CH477196.1	2139124	2331110
AAGE02000912.1	chr2	52.532	CH477197.1	90682	133708
AAGE02000913.1	chr2	52.532	CH477197.1	133809	343443
AAGE02000914.1	chr2	52.532	CH477197.1	343761	561349
AAGE02000978.1	chr2	73.499	CH477197.1	4310323	4441151
AAGE02001012.1	chr3	69.452	CH477198.1	3043235	3301223
AAGE02001019.1	chr3	69.452	CH477198.1	3831250	3954724
AAGE02001034.1	chr2	90.996	CH477199.1	608255	749500
AAGE02001072.1	chr2	85.257	CH477199.1	3998666	4089885
AAGE02001088.1	chr2	29.911	CH477200.1	679399	704248
AAGE02001104.1	chr2	29.911	CH477200.1	2164951	2319029
AAGE02001105.1	chr2	29.911	CH477200.1	2319130	2538086
AAGE02001111.1	chr2	29.911	CH477200.1	2927287	3054942
AAGE02001114.1	chr2	29.911	CH477200.1	3119022	3256471
AAGE02001115.1	chr2	29.911	CH477200.1	3260455	3407576
AAGE02001117.1	chr2	29.911	CH477200.1	3480421	3576543
AAGE02001118.1	chr2	29.911	CH477200.1	3576679	3623613
AAGE02001119.1	chr2	29.911	CH477200.1	3623714	3909912
AAGE02001124.1	chr2	29.911	CH477200.1	4047496	4148329
AAGE02001125.1	chr2	29.911	CH477200.1	4148430	4223656
AAGE02001127.1	chr2	29.911	CH477200.1	4238174	4253964
AAGE02001141.1	chr3	33.231	CH477201.1	501191	537045
AAGE02001143.1	chr3	33.231	CH477201.1	563880	723277
AAGE02001144.1	chr3	33.231	CH477201.1	723499	844970
AAGE02001173.1	chr3	33.231	CH477201.1	3660143	3756077
AAGE02001182.1	chr2	52.532	CH477201.1	4225781	4354357
AAGE02001244.1	chr3	60.87	CH477202.1	4201563	4251719
AAGE02001260.1	chr3	57.985	CH477203.1	1666783	1823565
AAGE02001261.1	chr3	57.985	CH477203.1	1823666	1944141
AAGE02001265.1	chr3	57.985	CH477203.1	2156866	2209391
AAGE02001278.1	chr3	57.985	CH477203.1	3086865	3174356
AAGE02001279.1	chr3	57.985	CH477203.1	3180889	3307828
AAGE02001283.1	chr3	57.985	CH477203.1	3418086	3501249
AAGE02001290.1	chr3	57.985	CH477203.1	3768863	4009535
AAGE02001298.1	chr2	52.532	CH477204.1	1	23462
AAGE02001328.1	chr3	66.591	CH477204.1	1197550	1249215
AAGE02001344.1	chr3	63.73	CH477204.1	2372622	2576039
AAGE02001359.1	chr3	63.73	CH477204.1	3854668	3942583
AAGE02001361.1	chr3	63.73	CH477204.1	3974331	4178977
AAGE02001376.1	chr2	0	CH477205.1	784967	801469
AAGE02001388.1	chr2	0	CH477205.1	1369318	1436731
AAGE02001396.1	chr2	0	CH477205.1	1918075	1931030
AAGE02001398.1	chr2	0	CH477205.1	1940810	2034360
AAGE02001417.1	chr1	21.535	CH477205.1	3012304	3097995
AAGE02001464.1	chr3	20.398	CH477206.1	343123	472444
AAGE02001468.1	chr3	20.398	CH477206.1	760880	827985
AAGE02001473.1	chr3	20.398	CH477206.1	961580	1043443
AAGE02001474.1	chr3	20.398	CH477206.1	1043544	1106271
AAGE02001478.1	chr3	20.398	CH477206.1	1471320	1499977
AAGE02001485.1	chr3	20.398	CH477206.1	2043962	2127288
AAGE02001486.1	chr3	20.398	CH477206.1	2127734	2248918
AAGE02001488.1	chr3	20.398	CH477206.1	2270199	2437220
AAGE02001489.1	chr3	20.398	CH477206.1	2437321	2518505
AAGE02001512.1	chr3	20.398	CH477206.1	3513074	3752127
AAGE02001538.1	chr1	21.535	CH477207.1	447716	549342
AAGE02001575.1	chr1	54.179	CH477207.1	2806912	2954213
AAGE02001621.1	chr3	86.75	CH477208.1	1853784	1998083
AAGE02001622.1	chr3	86.75	CH477208.1	1998445	2180037
AAGE02001625.1	chr3	86.75	CH477208.1	2241114	2320679
AAGE02001632.1	chr3	86.75	CH477208.1	2789638	3094246
AAGE02001634.1	chr3	86.75	CH477208.1	3126726	3377216
AAGE02001638.1	chr3	86.75	CH477208.1	3514888	3610791
AAGE02001647.1	chr2	55.421	CH477209.1	16135	69463
AAGE02001650.1	chr2	55.421	CH477209.1	102026	389809
AAGE02001651.1	chr2	55.421	CH477209.1	389910	535709
AAGE02001653.1	chr2	55.421	CH477209.1	582079	633195
AAGE02001657.1	chr2	55.421	CH477209.1	815319	835656
AAGE02001659.1	chr2	55.421	CH477209.1	842248	1005459
AAGE02001664.1	chr2	55.421	CH477209.1	1143355	1331765
AAGE02001666.1	chr2	55.421	CH477209.1	1420212	1541744
AAGE02001667.1	chr2	55.421	CH477209.1	1541845	1736491
AAGE02001673.1	chr2	55.421	CH477209.1	2247863	2497598
AAGE02001674.1	chr2	55.421	CH477209.1	2497699	2598319
AAGE02001675.1	chr2	55.421	CH477209.1	2598420	2855864
AAGE02001693.1	chr2	49.629	CH477209.1	3508574	3603369
AAGE02001730.1	chr2	73.499	CH477210.1	437553	737313
AAGE02001734.1	chr2	73.499	CH477210.1	845220	922481
AAGE02001735.1	chr2	73.499	CH477210.1	922582	990556
AAGE02001737.1	chr2	73.499	CH477210.1	994633	1288990
AAGE02001742.1	chr2	73.499	CH477210.1	1451837	1958484
AAGE02001743.1	chr2	73.499	CH477210.1	1960927	2018012
AAGE02001744.1	chr2	73.499	CH477210.1	2018113	2069241
AAGE02001746.1	chr2	73.499	CH477210.1	2077617	2167467
AAGE02001752.1	chr2	73.499	CH477210.1	2341056	2467407
AAGE02001753.1	chr2	73.499	CH477210.1	2467753	2512921
AAGE02001755.1	chr2	73.499	CH477210.1	2527266	2598007
AAGE02001757.1	chr2	73.499	CH477210.1	2610742	3232443
AAGE02001759.1	chr2	73.499	CH477210.1	3241115	3387717
AAGE02001761.1	chr2	73.499	CH477210.1	3424209	3489281
AAGE02001764.1	chr2	73.499	CH477210.1	3504338	3645175
AAGE02001765.1	chr2	73.499	CH477210.1	3645276	3904351
AAGE02001769.1	chr1	18.675	CH477211.1	221447	343191
