Marker name	Physical map chromosome  (Unger et al. 2015)	Physical map position, band (Unger et al. 2015)	CpipJ1 scaffold	Start position on CpipJ1 scaffold	End position on CpipJ1 scaffold
CPIJ001096	chr1	19D	supercont3.12	1880889	1880889
CPIJ001097	chr2	21B	supercont3.13	39763	39763
CPIJ001130	chr2	21B	supercont3.13	1013903	1013903
CPIJ000758	chr2	26A	supercont3.10	132168	132168
CPIJ000786	chr2	26A	supercont3.10	1479122	1479122
CPIJ000419	chr2	28A	supercont3.4	1663135	1663135
CPIJ000842	chr2	29B	supercont3.8	1844409	1844409
CPIJ000932	chr2	31B	supercont3.9	1994460	1994460
CPIJ000807	chr2	42B	supercont3.8	367208	367208
CPIJ001243	chr2	44C	supercont3.15	224054	224054
CPIJ001288	chr2	44C	supercont3.15	956670	956670
CPIJ000183	chr3	49B	supercont3.3	1517868	1517868
CPIJ000244	chr3	49B	supercont3.3	2734241	2734241
CPIJ000248	chr3	50A	supercont3.2	128985	128985
CPIJ000339	chr3	50B	supercont3.2	2703669	2703669
CX112_FD664727	chr3	53C	supercont3.99	305099	305099
CX17_FD664699	chr3	53C	supercont3.205	96983	96983
CPIJ000458	chr3	59B	supercont3.5	452949	452949
CPIJ000004	chr3	60B	supercont3.1	373018	373018
CPIJ000147	chr3	60C	supercont3.1	3834983	3834983
CX51_GT056146	chr3	62B	supercont3.28	430035	430035
CX11_FD664697	chr3	68B	supercont3.446	316789	316789
